field_1,haulid,region,year,yearsurv,month,stratum,lat,lon,depth,bottemp,surftemp_orig,adjSST,surftemp,sppocean,Freq,wtcpue
"947528",196307-010-1400,NEFSC_NEUSFall,"1963","1963","11","1400",42.833333,-70.65,"61","8.8","9.7","10.0337504931014","9.7",stenotomus chrysops_Atl,"6935","0"
"949185",196307-145-1100,NEFSC_NEUSFall,"1963","1963","12","1100",40.316667,-68.9,"91","9.6","8.8","9.70733081786214","8.8",paralichthys dentatus_Atl,"12598","0.5"
"949372",196307-159-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.916667,-72.916667,"53","10.6","10.6","11.3636202075807","10.6",centropristis striata_Atl,"5405","2.3"
"949374",196307-159-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.916667,-72.916667,"53","10.6","10.6","11.3636202075807","10.6",stenotomus chrysops_Atl,"6935","2.3"
"949381",196307-159-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.916667,-72.916667,"53","10.6","10.6","11.3636202075807","10.6",paralichthys dentatus_Atl,"12598","1.8"
"949385",196307-160-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.916667,-73.116667,"73","10.6","10.1","10.1470486796001","10.1",stenotomus chrysops_Atl,"6935","0"
"949392",196307-160-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.916667,-73.116667,"73","10.6","10.1","10.1470486796001","10.1",paralichthys dentatus_Atl,"12598","2.3"
"949400",196307-160-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.916667,-73.116667,"73","10.6","10.1","10.1470486796001","10.1",centropristis striata_Atl,"5405","0.5"
"949409",196307-161-1010,NEFSC_NEUSFall,"1963","1963","12","1010",39.75,-73.833333,"23","8.4","8.4","10.1470486796001","8.4",stenotomus chrysops_Atl,"6935","0"
"949426",196307-163-1010,NEFSC_NEUSFall,"1963","1963","12","1010",39.6,-73.216667,"40","10.6","10.6","10.1470486796001","10.6",stenotomus chrysops_Atl,"6935","3.6"
"949450",196307-164-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.466667,-72.75,"74","11.1","10.4","11.3636202075807","10.4",centropristis striata_Atl,"5405","0"
"949509",196307-172-1030,NEFSC_NEUSFall,"1963","1963","12","1030",39.866667,-71.966667,"116","13.2","11.4","11.8814207352089","11.4",paralichthys dentatus_Atl,"12598","1.8"
"949516",196307-173-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.983333,-72.033333,"83","13.9","11.3","11.3636202075807","11.3",stenotomus chrysops_Atl,"6935","0.9"
"949522",196307-173-1020,NEFSC_NEUSFall,"1963","1963","12","1020",39.983333,-72.033333,"83","13.9","11.3","11.3636202075807","11.3",paralichthys dentatus_Atl,"12598","4.5"
"949559",196307-177-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.15,-71.633333,"77","13.3","9.1","9.60199526207739","9.1",paralichthys dentatus_Atl,"12598","5.9"
"949560",196307-178-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.4,-71.266667,"77","13.7","9.9","9.60199526207739","9.9",stenotomus chrysops_Atl,"6935","0.9"
"949572",196307-179-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.25,-71.866667,"71","13.1","10.7","9.60199526207739","10.7",centropristis striata_Atl,"5405","0.5"
"949580",196307-179-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.25,-71.866667,"71","13.1","10.7","9.60199526207739","10.7",stenotomus chrysops_Atl,"6935","1.8"
"949589",196307-180-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.5,-71.566667,"75","14.4","11.4","9.60199526207739","11.4",stenotomus chrysops_Atl,"6935","0"
"949630",196307-183-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.5,-70.833333,"75","14.4","9.8","9.32487486268464","9.8",stenotomus chrysops_Atl,"6935","21.8"
"949643",196307-183-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.5,-70.833333,"75","14.4","9.8","9.32487486268464","9.8",paralichthys dentatus_Atl,"12598","3.6"
"949655",196307-184-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.35,-70.866667,"91","13.5","9.5","9.32487486268464","9.5",paralichthys dentatus_Atl,"12598","1.4"
"949659",196307-184-1060,NEFSC_NEUSFall,"1963","1963","12","1060",40.35,-70.866667,"91","13.5","9.5","9.32487486268464","9.5",stenotomus chrysops_Atl,"6935","21.3"
"949703",196413-001-1090,NEFSC_NEUSFall,"1964","1964","10","1090",41.216667,-70.433333,"33","13.1","13.5","12.773103964173","13.5",stenotomus chrysops_Atl,"6935","3.2"
"949704",196413-001-1090,NEFSC_NEUSFall,"1964","1964","10","1090",41.216667,-70.433333,"33","13.1","13.5","12.773103964173","13.5",centropristis striata_Atl,"5405","0.5"
