field_1,X,haulid,sppocean,Freq,wtcpue,logwtcpue,latgrid,longrid,region,year,yearsurv,month,stratum,lat,lon,depth,bottemp,surftemp_orig,adjSST,surftemp,elev,tri,GRAVEL,SAND,MUD,habitat,GRAINSIZE,habitatFact,SST.actual,SST.seasonal.mean,SST.min,SST.max,SBT.actual,SBT.seasonal,SBT.min,SBT.max,survey,surveyfact,regionfact,rugosity,ocean,season
"106","116",196307-159-1020,centropristis striata_Atl,"5405",2.3,0.832909122935104,39.925,-72.925,NEFSC_NEUS,"1963","1963","12","1020",39.916667,-72.916667,"53","10.6","10.6","11.3636202075807","10.6",-51.8888888888889,0.927083333333333,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,9.989488602,9.853208542,5.714488983,24.76173401,9.547081947,10.08705044,8.883711815,10.752985,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.656007633610489,Atl,Fall
"107","121",196307-160-1020,centropristis striata_Atl,"5405",0.5,-0.693147180559945,39.925,-73.125,NEFSC_NEUS,"1963","1963","12","1020",39.916667,-73.116667,"73","10.6","10.1","10.1470486796001","10.1",-68.3333333333333,1.91319444444444,"4.84111213684082","82.4936065673828","12.6609268188477",shelf_soft,2.21283841133118,soft,10.23937893,9.927213669,4.262316704,23.83696747,9.093832016,9.578828812,5.894583702,9.093832016,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,1.06925022633126,Atl,Fall
"108","124",196307-164-1020,centropristis striata_Atl,"5405",0,-inf,39.475,-72.725,NEFSC_NEUS,"1963","1963","12","1020",39.466667,-72.75,"74","11.1","10.4","11.3636202075807","10.4",-72.25,1.96875,"4.84111213684082","82.4936065673828","12.6609268188477",shelf_soft,2.21283841133118,soft,9.825888634,10.14185429,6.766450882,25.47594261,3.886944294,3.881591082,3.838544846,4.279958248,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,1.08814098880081,Atl,Fall
"109","130",196307-179-1060,centropristis striata_Atl,"5405",0.5,-0.693147180559945,40.275,-71.875,NEFSC_NEUS,"1963","1963","12","1060",40.25,-71.866667,"71","13.1","10.7","9.60199526207739","10.7",-71.1666666666667,0.784722222222222,"4.84111213684082","82.4936065673828","12.6609268188477",shelf_soft,2.21283841133118,soft,10.12965107,10.12462425,4.602046013,20.55860901,12.21032333,11.84289646,9.754897118,12.21032333,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.579262785319219,Atl,Fall
"110","138",196413-001-1090,centropristis striata_Atl,"5405",0.5,-0.693147180559945,41.225,-70.425,NEFSC_NEUS,"1964","1964","10","1090",41.216667,-70.433333,"33","13.1","13.5","12.773103964173","13.5",-31.1666666666667,0.871527777777778,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,13.5498085,14.00255394,3.632522106,18.03191185,7.568012714,7.527979851,3.463848591,11.55736351,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.626755090773051,Atl,Fall
"111","147",196413-008-1050,centropristis striata_Atl,"5405",0,-inf,40.975,-71.375,NEFSC_NEUS,"1964","1964","10","1050",40.983333,-71.366667,"43","12","13.1","14.5647379263423","13.1",-45.25,1.45486111111111,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,15.45835209,15.54176903,4.062678814,19.05372429,6.194162369,7.117760658,3.817731619,11.20810413,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.898070185760627,Atl,Fall
"112","149",196413-010-1050,centropristis striata_Atl,"5405",2.3,0.832909122935104,40.925,-71.875,NEFSC_NEUS,"1964","1964","10","1050",40.933333,-71.866667,"29","12.7","13.3","14.5647379263423","13.3",-32.9166666666667,0.791666666666667,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,15.94102859,16.14834404,3.973707676,19.65878105,7.704639435,7.777348042,4.369853973,10.25971508,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.583146285345617,Atl,Fall
"113","152",196413-011-1050,centropristis striata_Atl,"5405",0,-inf,40.625,-71.975,NEFSC_NEUS,"1964","1964","10","1050",40.65,-71.966667,"28","10.5","13.2","14.5647379263423","13.2",-52.5833333333333,0.496527777777778,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,15.94102859,16.14834404,3.973707676,19.65878105,7.704639435,7.777348042,4.369853973,10.25971508,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.403147609967802,Atl,Fall
"114","155",196413-012-1050,centropristis striata_Atl,"5405",0.5,-0.693147180559945,40.625,-72.325,NEFSC_NEUS,"1964","1964","10","1050",40.616667,-72.316667,"49","11","13.4","14.7582634063017","13.4",-45.8611111111111,0.875,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,15.93820477,16.17012024,3.947189569,19.35910797,8.306546211,7.973397732,4.40641737,10.39958763,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.628608659422374,Atl,Fall
"115","174",196514-185-1010,centropristis striata_Atl,"5405",0.5,-0.693147180559945,40.625,-72.725,NEFSC_NEUS,"1965","1965","11","1010",40.6,-72.75,"35","8.5","12.9","11.5507153091222","12.9",-33.8611111111111,0.795138888888889,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,11.45371819,11.48210716,3.512256145,17.61441231,10.82203484,9.205692291,3.544869661,12.92800045,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.585082394372483,Atl,Fall
"116","194",196721-038-1650,centropristis striata_Atl,"5405",0.9,-0.105360515657826,37.125,-74.875,NEFSC_NEUS,"1967","1967","10","1650",37.116667,-74.9,"47","11.4","16.9","18.9031180044985","16.9",-50.7222222222222,1.10069444444444,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,17.75991249,17.77444649,5.918410778,23.89394379,4.090360641,4.107792854,4.090360641,4.99621439,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.742267977894896,Atl,Fall
"117","196",196721-052-1610,centropristis striata_Atl,"5405",0,-inf,35.875,-75.225,NEFSC_NEUS,"1967","1967","10","1610",35.883333,-75.25,"27","19.6","22","21.6752366190077","22",-31.1944444444444,1.27777777777778,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,20.38917732,19.85056877,9.082437515,23.23967552,13.049366,14.37815952,6.891431808,15.46812725,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.823200308808143,Atl,Fall
"118","202",196721-055-1610,centropristis striata_Atl,"5405",0,-inf,36.375,-75.425,NEFSC_NEUS,"1967","1967","10","1610",36.383333,-75.433333,"28","17.5","17.8","19.5081885792799","17.8",-26.4722222222222,0.541666666666667,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,20.13142776,19.23006439,7.335343838,22.26661301,19.69422913,18.9493351,7.129419327,20.64937592,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.432864082296279,Atl,Fall
"119","204",196721-056-1650,centropristis striata_Atl,"5405",7,1.94591014905531,36.575,-75.525,NEFSC_NEUS,"1967","1967","10","1650",36.583333,-75.516667,"21","17.8","17.7","19.5081885792799","17.7",-22.8611111111111,0.840277777777778,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,20.2244091,19.10422516,5.597054482,22.89573288,20.1724987,18.85187912,5.522465229,21.00825119,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.609916526410222,Atl,Fall
"120","210",196721-058-1650,centropristis striata_Atl,"5405",2.3,0.832909122935104,36.975,-75.275,NEFSC_NEUS,"1967","1967","10","1650",36.966667,-75.266667,"32",NA,"17.4","19.5081885792799","17.4",-30.4166666666667,0.673611111111111,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,19.75106621,18.66552925,6.350053787,22.84181786,11.83222866,12.23700905,6.12332058,13.32798958,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.514983633914654,Atl,Fall
"121","211",196721-059-1650,centropristis striata_Atl,"5405",0,-inf,37.375,-75.375,NEFSC_NEUS,"1967","1967","10","1650",37.366667,-75.366667,"22","17.1","17.5","18.0389942911029","17.5",-24.25,1.14236111111111,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,18.80756378,18.16950607,6.036457062,24.72780418,11.90858936,12.26350594,6.058021069,13.37548733,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.761908543769442,Atl,Fall
"122","212",196721-060-1650,centropristis striata_Atl,"5405",0,-inf,37.525,-74.925,NEFSC_NEUS,"1967","1967","10","1650",37.55,-74.95,"29","16.8","16.6","18.9031180044985","16.6",-32.8611111111111,1.34027777777778,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,17.68814278,17.36403847,5.751617908,24.41622162,10.03036404,10.16490078,7.522482872,10.86296654,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.850269630776361,Atl,Fall
"123","233",196721-090-1010,centropristis striata_Atl,"5405",0.9,-0.105360515657826,40.275,-73.225,NEFSC_NEUS,"1967","1967","10","1010",40.3,-73.216667,"36","11.4","14.6","14.9410701287757","14.6",-36.9722222222222,0.430555555555556,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,16.05786514,15.90339947,4.431633472,23.22745895,10.18694973,9.115708351,4.339113235,10.18694973,NEFSC_NEUSFall,NEFSC_NEUSFall,NEFSC_NEUS,0.35806286921358,Atl,Fall
"124","246",196803-035-1620,centropristis striata_Atl,"5405",0.9,-0.105360515657826,35.625,-74.925,NEFSC_NEUS,"1968","1968","3","1620",35.633333,-74.916667,"55","9.9","6.4","12.3785439391602","6.4",-52.1944444444444,0.9375,"4.84111213684082","82.4936065673828","12.6609268188477",subt_soft,2.21283841133118,soft,12.44084549,14.40824795,10.47741985,23.04711723,3.707399368,3.635096312,3.450901985,3.746206045,NEFSC_NEUSSpring,NEFSC_NEUSSpring,NEFSC_NEUS,0.661398482245365,Atl,Spring
