"","haulid","region","year","yearsurv","month","stratum","lat","lon","depth","bottemp","surftemp_orig","adjSST","surftemp","sppocean","Freq","wtcpue"
"131561","004-214-00102","SEFSC_GOMexFall",1994,1994,10,"27.5--94.5-150",27.9336666666667,-94.8874166666667,167.15232,19.6,27.09,NA,27.09,"paralichthys dentatus_Atl",12598,0.17715118223613
"290516","004-287-00190","SEFSC_GOMexSummer",2009,2009,6,"28.5--93.5-150",28.0770833333333,-93.868,134.78256,19.635,29.9,28.1963862726605,29.9,"paralichthys dentatus_Atl",12598,0.415950975890433
"310792","004-292-00224","SEFSC_GOMexFall",2010,2010,11,"29.5--83.5-50",29.5471666666667,-83.9491666666667,33.46704,21.6899,21.5,NA,21.5,"centropristis striata_Atl",5405,0.0743402282598044
"310857","004-292-00227","SEFSC_GOMexFall",2010,2010,11,"29.5--83.5-50",29.31525,-83.8731666666667,36.75888,22.0782,21.70000076,NA,21.70000076,"centropristis striata_Atl",5405,0.110719488897581
"310970","004-292-00235","SEFSC_GOMexFall",2010,2010,11,"29.5--84.5-50",29.0726666666667,-84.03175,50.10912,22.9118,22.60000038,NA,22.60000038,"centropristis striata_Atl",5405,0.0971050924849896
"324176","004-299-00203","SEFSC_GOMexSummer",2012,2012,7,"30.5--86.5-50",30.1611666666667,-86.9739166666667,53.21808,26.4442,28.39999962,NA,28.39999962,"paralichthys dentatus_Atl",12598,0.125646116289699
"324193","004-299-00204","SEFSC_GOMexSummer",2012,2012,7,"30.5--87.5-50",30.1316666666667,-87.00025,51.2064,26.1454,28.39999962,NA,28.39999962,"paralichthys dentatus_Atl",12598,0.375764911550867
"324222","004-299-00205","SEFSC_GOMexSummer",2012,2012,7,"30.5--86.5-50",30.1894166666667,-86.8546666666667,53.21808,26.4233,27.89999962,NA,27.89999962,"paralichthys dentatus_Atl",12598,0.335321880661246
"324350","004-299-00212","SEFSC_GOMexSummer",2012,2012,7,"30.5--86.5-50",30.1045833333333,-86.1998333333333,64.19088,26.838,28.20000076,NA,28.20000076,"paralichthys dentatus_Atl",12598,0.257607344168372
"324476","004-299-00230","SEFSC_GOMexSummer",2012,2012,7,"29.5--84.5-50",29.4141666666667,-84.51625,49.74336,27.0592,30.29999924,NA,30.29999924,"centropristis striata_Atl",5405,0.137632841583455
"328486","004-301-00178","SEFSC_GOMexFall",2012,2012,11,"29.5--84.5-50",29.4819166666667,-84.7489166666667,39.86784,21.3505,21.5,NA,21.5,"centropristis striata_Atl",5405,0.0334618899779356
"328524","004-301-00179","SEFSC_GOMexFall",2012,2012,11,"29.5--84.5-50",29.62925,-84.6760833333333,32.36976,21.5627,21.5,NA,21.5,"centropristis striata_Atl",5405,0.775377097633522
"328594","004-301-00181","SEFSC_GOMexFall",2012,2012,11,"29.5--84.5-50",29.6733333333333,-84.4365833333333,33.10128,21.9995,21.3,NA,21.3,"centropristis striata_Atl",5405,0.0313421322417768
"328609","004-301-00182","SEFSC_GOMexFall",2012,2012,11,"29.5--84.5-50",29.6851666666667,-84.3978333333333,33.46704,21.9976,21.6,NA,21.6,"centropristis striata_Atl",5405,0.0524892391810755
"328714","004-301-00187","SEFSC_GOMexFall",2012,2012,11,"29.5--83.5-50",29.4975,-83.9340833333333,34.38144,21.7506,21.7,NA,21.7,"centropristis striata_Atl",5405,0.368588750136463
"351726","017-083-00035","SEFSC_GOMexSummer",2008,2008,8,"28.5--83.5-50",28.61125,-83.3683333333333,34.19856,NA,30.22999954,29.0835234146251,30.22999954,"centropristis striata_Atl",5405,0.0436972916182453
